gold_type,pred_type,count
object_part_of_series_type,object_name,9
datetime,location,8
restaurant_name,restaurant_type,6
served_dish,party_size_description,6
restaurant_type,served_dish,5
artist,entity_name,5
object_type,object_name,5
condition_description,weather/attribute,4
restaurant_name,location,3
location,restaurant_type,3
condition_temperature,weather/attribute,3
served_dish,cuisine,3
location,movie_name,2
object_part_of_series_type,object_type,2
movie_name,object_name,2
location,weather/attribute,2
album,track,2
restaurant_name,served_dish,2
location,party_size_description,1
location,rating_value,1
location,rating_unit,1
restaurant_name,cuisine,1
entity_name,artist,1
playlist,reference,1
music_item,entity_name,1
best_rating,object_name,1
playlist,genre,1
playlist,sort,1
playlist,datetime,1
restaurant_name,party_size_description,1
album,artist,1
artist,genre,1
location,facility,1
condition_temperature,condition_description,1
album,music_item,1
artist,playlist,1
object_location_type,location,1
datetime,served_dish,1
object_location_type,object_type,1
object_name,rating_unit,1
party_size_number,datetime,1
location,datetime,1
recurring_datetime,datetime,1
album,sort,1
restaurant_name,sort,1
reference,playlist,1
location,cuisine,1
party_size_description,served_dish,1
served_dish,party_size_number,1
served_dish,sort,1
