intent_gold,intent_pred,count
weather/find,weather/find,113
BookRestaurant,BookRestaurant,110
SearchCreativeWork,SearchCreativeWork,85
RateBook,RateBook,40
SearchScreeningEvent,SearchScreeningEvent,35
PlayMusic,PlayMusic,33
AddToPlaylist,AddToPlaylist,31
reminder/set_reminder,reminder/set_reminder,13
alarm/cancel_alarm,alarm/cancel_alarm,11
alarm/set_alarm,alarm/set_alarm,10
reminder/show_reminders,reminder/show_reminders,6
reminder/cancel_reminder,reminder/cancel_reminder,5
alarm/show_alarms,alarm/show_alarms,3
SearchScreeningEvent,SearchCreativeWork,2
SearchScreeningEvent,RateBook,1
SearchScreeningEvent,weather/find,1
alarm/time_left_on_alarm,alarm/time_left_on_alarm,1
