slot_type,missing_spans,extra_spans,total_issue_spans
location,60,42,102
object_name,41,46,87
datetime,33,34,67
object_type,22,42,64
served_dish,14,35,49
playlist,16,17,33
artist,17,10,27
party_size_description,5,13,18
restaurant_type,6,10,16
reference,8,7,15
service,7,7,14
sort,4,9,13
movie_name,7,6,13
weather/attribute,2,10,12
object_part_of_series_type,11,0,11
restaurant_name,11,0,11
music_item,5,4,9
condition_description,6,2,8
condition_temperature,5,3,8
entity_name,2,5,7
album,5,2,7
party_size_number,3,4,7
rating_unit,0,6,6
cuisine,0,5,5
best_rating,2,2,4
object_location_type,3,1,4
genre,0,3,3
track,1,2,3
recurring_datetime,2,1,3
facility,0,2,2
rating_value,0,1,1
